Id,Home score,Away score,Result,Created at,Updated at
98,8,9,Away,"June 16, 2012 14:09","June 16, 2012 14:09"
97,7,9,Away,"June 16, 2012 14:09","June 16, 2012 14:09"
96,6,9,Away,"June 16, 2012 14:09","June 16, 2012 14:09"
95,5,9,Away,"June 16, 2012 14:09","June 16, 2012 14:09"
94,4,9,Away,"June 16, 2012 14:09","June 16, 2012 14:09"
93,4,9,Away,"June 16, 2012 14:09","June 16, 2012 14:09"
92,3,9,Away,"June 16, 2012 14:09","June 16, 2012 14:09"
91,2,9,Away,"June 16, 2012 14:09","June 16, 2012 14:09"
90,1,9,Away,"June 16, 2012 14:09","June 16, 2012 14:09"
89,0,9,Away,"June 16, 2012 14:09","June 16, 2012 14:09"
88,7,8,Away,"June 16, 2012 14:08","June 16, 2012 14:08"
87,6,8,Away,"June 16, 2012 14:08","June 16, 2012 14:08"
86,5,8,Away,"June 16, 2012 14:08","June 16, 2012 14:08"
85,4,8,Away,"June 16, 2012 14:08","June 16, 2012 14:08"
84,3,8,Away,"June 16, 2012 14:08","June 16, 2012 14:08"
83,2,8,Away,"June 16, 2012 14:08","June 16, 2012 14:08"
82,1,8,Away,"June 16, 2012 14:08","June 16, 2012 14:08"
81,0,8,Away,"June 16, 2012 14:08","June 16, 2012 14:08"
80,6,7,Away,"June 16, 2012 14:08","June 16, 2012 14:08"
79,5,7,Away,"June 16, 2012 14:08","June 16, 2012 14:08"
78,5,7,Away,"June 16, 2012 14:08","June 16, 2012 14:08"
77,4,7,Away,"June 16, 2012 14:08","June 16, 2012 14:08"
76,3,7,Away,"June 16, 2012 14:07","June 16, 2012 14:07"
75,2,7,Away,"June 16, 2012 14:07","June 16, 2012 14:07"
74,1,7,Away,"June 16, 2012 14:07","June 16, 2012 14:07"
73,0,7,Away,"June 16, 2012 14:07","June 16, 2012 14:07"
72,5,6,Away,"June 16, 2012 14:05","June 16, 2012 14:05"
71,4,6,Away,"June 16, 2012 14:05","June 16, 2012 14:05"
70,3,6,Away,"June 16, 2012 14:05","June 16, 2012 14:05"
69,2,6,Away,"June 16, 2012 14:05","June 16, 2012 14:05"
68,1,6,Away,"June 16, 2012 14:05","June 16, 2012 14:05"
67,0,6,Away,"June 16, 2012 14:05","June 16, 2012 14:05"
66,4,5,Away,"June 16, 2012 14:05","June 16, 2012 14:05"
65,3,5,Away,"June 16, 2012 14:05","June 16, 2012 14:05"
64,2,5,Away,"June 16, 2012 14:05","June 16, 2012 14:05"
63,1,5,Away,"June 16, 2012 14:05","June 16, 2012 14:05"
62,0,5,Away,"June 16, 2012 14:04","June 16, 2012 14:04"
61,3,4,Away,"June 16, 2012 14:04","June 16, 2012 14:04"
60,2,4,Away,"June 16, 2012 14:04","June 16, 2012 14:04"
59,1,4,Away,"June 16, 2012 14:04","June 16, 2012 14:04"
58,0,4,Away,"June 16, 2012 14:04","June 16, 2012 14:04"
57,2,3,Away,"June 16, 2012 14:04","June 16, 2012 14:04"
56,1,3,Away,"June 16, 2012 14:04","June 16, 2012 14:04"
55,0,3,Away,"June 16, 2012 14:04","June 16, 2012 14:04"
54,1,2,Away,"June 16, 2012 14:04","June 16, 2012 14:04"
53,0,2,Away,"June 16, 2012 14:04","June 16, 2012 14:04"
52,0,1,Away,"June 16, 2012 14:04","June 16, 2012 14:04"
51,9,8,Home,"June 16, 2012 14:03","June 16, 2012 14:03"
50,9,7,Home,"June 16, 2012 14:03","June 16, 2012 14:03"
49,9,6,Home,"June 16, 2012 14:03","June 16, 2012 14:03"
48,9,5,Home,"June 16, 2012 14:03","June 16, 2012 14:03"
47,9,4,Home,"June 16, 2012 14:03","June 16, 2012 14:03"
46,9,3,Home,"June 16, 2012 14:03","June 16, 2012 14:03"
45,9,2,Home,"June 16, 2012 14:02","June 16, 2012 14:02"
44,9,1, - ,"June 16, 2012 14:02","June 16, 2012 14:02"
43,9,0,Home,"June 16, 2012 14:02","June 16, 2012 14:02"
42,8,7,Home,"June 16, 2012 14:02","June 16, 2012 14:02"
41,8,6,Home,"June 16, 2012 14:02","June 16, 2012 14:02"
40,8,5,Home,"June 16, 2012 14:02","June 16, 2012 14:02"
39,8,4,Home,"June 16, 2012 14:02","June 16, 2012 14:02"
38,8,3,Home,"June 16, 2012 14:02","June 16, 2012 14:02"
37,8,2,Home,"June 16, 2012 14:01","June 16, 2012 14:01"
36,8,1,Home,"June 16, 2012 14:01","June 16, 2012 14:01"
35,8,0,Home,"June 16, 2012 14:01","June 16, 2012 14:01"
34,7,6,Home,"June 16, 2012 14:01","June 16, 2012 14:01"
33,7,5,Home,"June 16, 2012 14:00","June 16, 2012 14:00"
32,7,4,Home,"June 16, 2012 14:00","June 16, 2012 14:00"
31,7,3,Home,"June 16, 2012 14:00","June 16, 2012 14:00"
30,7,2,Home,"June 16, 2012 14:00","June 16, 2012 14:00"
29,7,1,Home,"June 16, 2012 14:00","June 16, 2012 14:00"
28,7,0,Home,"June 16, 2012 14:00","June 16, 2012 14:00"
27,6,5,Home,"June 16, 2012 14:00","June 16, 2012 14:00"
26,6,4,Home,"June 16, 2012 14:00","June 16, 2012 14:00"
25,6,3,Home,"June 16, 2012 14:00","June 16, 2012 14:00"
24,6,2,Home,"June 16, 2012 14:00","June 16, 2012 14:00"
23,6,1,Home,"June 16, 2012 13:59","June 16, 2012 13:59"
22,6,0,Home,"June 16, 2012 13:59","June 16, 2012 13:59"
21,5,4,Home,"June 16, 2012 13:59","June 16, 2012 13:59"
20,5,3,Home,"June 16, 2012 13:59","June 16, 2012 13:59"
19,5,2,Home,"June 16, 2012 13:59","June 16, 2012 13:59"
18,5,1,Home,"June 16, 2012 13:59","June 16, 2012 13:59"
17,5,0,Home,"June 16, 2012 13:59","June 16, 2012 13:59"
16,4,3,Home,"June 16, 2012 13:59","June 16, 2012 13:59"
15,4,2,Home,"June 16, 2012 13:59","June 16, 2012 13:59"
14,4,1,Home,"June 16, 2012 13:59","June 16, 2012 13:59"
13,4,0,Home,"June 16, 2012 13:59","June 16, 2012 13:59"
12,3,2,Home,"June 16, 2012 13:58","June 16, 2012 13:58"
11,3,1,Home,"June 16, 2012 13:58","June 16, 2012 14:06"
10,3,0,Home,"June 16, 2012 13:58","June 16, 2012 13:58"
9,2,1,Home,"June 16, 2012 13:58","June 16, 2012 13:58"
8,2,0,Home,"June 16, 2012 13:58","June 16, 2012 13:58"
7,1,0,Home,"June 16, 2012 13:58","June 16, 2012 13:58"
6,5,5,Draw,"June 16, 2012 13:58","June 16, 2012 13:58"
5,4,4,Draw,"June 16, 2012 13:57","June 16, 2012 13:57"
4,3,3,Draw,"June 16, 2012 13:57","June 16, 2012 13:57"
3,2,2,Draw,"June 16, 2012 13:57","June 16, 2012 13:57"
2,1,1,Draw,"June 16, 2012 13:57","June 16, 2012 13:57"
1,0,0,Draw,"June 16, 2012 13:57","June 16, 2012 13:57"
