Id,Name,Created at,Updated at
20,Wigan Athletic,"June 16, 2012 13:55","June 16, 2012 13:55"
19,West Ham United,"June 16, 2012 13:55","June 16, 2012 13:55"
18,West Bromwich Albion,"June 16, 2012 13:55","June 16, 2012 13:55"
17,Tottenham Hotspur,"June 16, 2012 13:55","June 16, 2012 13:55"
16,Swansea City,"June 16, 2012 13:55","June 16, 2012 13:55"
15,Sunderland,"June 16, 2012 13:55","June 16, 2012 13:55"
14,Stoke City,"June 16, 2012 13:55","June 16, 2012 13:55"
13,Southampton,"June 16, 2012 13:55","June 16, 2012 13:55"
12,Reading,"June 16, 2012 13:55","June 16, 2012 13:55"
11,Queens Park Rangers,"June 16, 2012 13:55","June 16, 2012 13:55"
10,Norwich City,"June 16, 2012 13:55","June 16, 2012 13:55"
9,Newcastle United,"June 16, 2012 13:55","June 16, 2012 13:55"
8,Manchester United,"June 16, 2012 13:54","June 16, 2012 13:54"
7,Manchester City,"June 16, 2012 13:54","June 16, 2012 13:54"
6,Liverpool,"June 16, 2012 13:54","June 16, 2012 13:54"
5,Fulham,"June 16, 2012 13:54","June 16, 2012 13:54"
4,Everton,"June 16, 2012 13:53","June 16, 2012 13:53"
3,Chelsea,"June 16, 2012 13:53","June 16, 2012 13:53"
2,Aston Villa,"June 16, 2012 13:53","June 16, 2012 13:53"
1,Ar,"June 16, 2012 13:53","June 16, 2012 13:53"
